candidate_id,rank,score,reasoning
CAND_0021011,91,0.480051,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.40.
CAND_0093940,92,0.479995,Strong match with 0 out of 22 required skills at advanced/expert level. 14.5 years of experience. Behavioral engagement score: 0.45.
CAND_0034115,93,0.479806,Strong match with 3 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.42.
CAND_0048927,94,0.479623,Strong match with 0 out of 22 required skills at advanced/expert level. 14.9 years of experience. Behavioral engagement score: 0.47.
CAND_0000201,95,0.479445,Strong match with 0 out of 22 required skills at advanced/expert level. 14.1 years of experience. Behavioral engagement score: 0.65.
CAND_0018066,96,0.479309,Strong match with 2 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.38.
CAND_0075266,97,0.479251,Strong match with 0 out of 22 required skills at advanced/expert level. 14.7 years of experience. Behavioral engagement score: 0.56.
CAND_0063431,98,0.479197,Strong match with 2 out of 22 required skills at advanced/expert level. 12.3 years of experience. Behavioral engagement score: 0.46.
CAND_0072665,99,0.478303,Strong match with 3 out of 22 required skills at advanced/expert level. 12.9 years of experience. Behavioral engagement score: 0.38.
CAND_0092276,100,0.478235,Strong match with 0 out of 22 required skills at advanced/expert level. 14.3 years of experience. Behavioral engagement score: 0.57.
